"title","labels","body"
"Bug #001: Off-by-One Error","good first issue,documentation,bugs","An off-by-one error occurs when a loop, array access, or calculation is off by exactly one position. This is one of the most common bugs in programming, often called the ""fence-post problem."""
"Bug #002: Null/None Reference Exception","good first issue,documentation,bugs","A null reference exception (NullPointerException, AttributeError, etc.) occurs when you try to access a property or method on a variable that is `null`, `None`, or `undefined`."
"Bug #003: Type Mismatch","good first issue,documentation,bugs","A type mismatch error occurs when you try to use a value of one type where a different type is expected. This includes operations between incompatible types."
"Bug #004: Uninitialized Variables","good first issue,documentation,bugs","Using a variable before assigning it a value. The variable contains garbage data (whatever was previously at that memory location) leading to unpredictable behavior."
"Bug #005: Logic Inversion","good first issue,documentation,bugs","Logic inversion occurs when conditional statements are reversed - you write the opposite of what you intended. This causes correct inputs to fail and incorrect inputs to pass."
"Bug #006: Memory Leak","good first issue,documentation,bugs","A memory leak occurs when a program allocates memory but fails to release it back to the system. Over time, this wastes memory and can cause the program to slow down, use excessive RAM, or eventually crash."
"Bug #007: Infinite Loop","good first issue,documentation,bugs","An infinite loop is a loop that never terminates. The loop condition is always true, or the termination condition is never reached, causing the program to hang indefinitely."
"Bug #008: Copy vs Reference","good first issue,documentation,bugs","Confusion between copying a value versus copying a reference. In some languages, assignment creates a copy; in others, it creates a reference. Modifying one might unexpectedly modify the other."
"Bug #009: Race Condition","good first issue,documentation,bugs","A race condition occurs when multiple threads or processes access and modify shared data concurrently without proper synchronization. The outcome depends on the order of execution (which ""races"" fastest), leading to unpredictable results."
"Bug #010: Integer Division","good first issue,documentation,bugs","Integer division occurs when both operands of a division operation are integers. In most languages, this produces an integer result, discarding the decimal part (truncation) rather than rounding."
"Bug #011: String Manipulation Errors","good first issue,documentation,bugs","String manipulation errors occur when developers incorrectly process, concatenate, or transform strings, leading to unexpected results like truncated text, missing characters, or incorrect formatting. These bugs are common because strings are immutable in many languages, and developers often forget this behavior."
"Bug #012: Array Boundary Issues","good first issue,documentation,bugs","Array boundary issues occur when accessing array elements outside the valid index range (0 to length-1). This causes runtime errors, crashes, or undefined behavior. It's one of the most common bugs in C/C++ but also appears in all languages."
"Bug #013: Dictionary/Map Operation Errors","good first issue,documentation,bugs","Dictionary and map operation errors occur when accessing, modifying, or iterating over key-value collections incorrectly. These bugs include accessing non-existent keys, type mismatches in keys, and incorrect key-value pair handling."
"Bug #014: Floating Point Precision Errors","good first issue,documentation,bugs","Floating point precision errors occur when comparing or performing arithmetic with decimal numbers. Due to how computers store floating point numbers in binary, unexpected rounding errors and comparison failures occur. For example, 0.1 + 0.2 doesn't exactly equal 0.3."
"Bug #015: Variable Scope Issues","good first issue,documentation,bugs","Variable scope issues occur when variables are accessed outside their defined scope, or when developers misunderstand where a variable is accessible. This includes accessing variables before declaration, accessing outer scope when inner scope shadows them, or trying to use block-scoped variables globally."
"Bug #016: Function Parameter Passing Errors","good first issue,documentation,bugs","Function parameter passing errors occur when arguments are passed incorrectly to functions, or when developers misunderstand pass-by-value vs pass-by-reference semantics. This can result in unintended modifications, lost data, or type mismatches."
"Bug #017: Null Safety Check Failures","good first issue,documentation,bugs","Null safety check failures occur when code assumes a value is not null/None without verifying first, leading to null pointer exceptions, attribute errors, or crashes. This is one of programming's most famous bugs, called ""the billion-dollar mistake"" by Tony Hoare who invented null."
